"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","WAR","playerid"
"2000","Gary Sheffield","Dodgers","141","501","612","163","93","24","3","43","105","109","101","71","4","6",".325",".438",".643","1.081","6.6","114"
"1932","Mel Ott","Giants","154","566","673","180","104","30","8","38","119","123","100","39","6","",".318",".424",".601","1.025","8.1","1009904"
"1953","Eddie Mathews","Braves","157","579","681","175","89","31","8","47","110","135","99","83","1","3",".302",".406",".627","1.033","8.7","1008236"
"1955","Willie Mays","Giants","152","580","670","185","103","18","13","51","123","127","79","60","24","4",".319",".400",".659","1.059","9.0","1008315"
"1973","Hank Aaron","Braves","120","392","465","118","65","12","1","40","84","96","68","51","1","1",".301",".402",".643","1.045","5.2","1000001"
"1947","Johnny Mize","Giants","154","586","664","177","98","26","2","51","137","138","74","42","2","",".302",".384",".614",".998","6.8","1009014"
"1965","Willie Mays","Giants","157","558","638","177","101","21","3","52","118","112","76","71","9","4",".317",".398",".645","1.043","10.7","1008315"
"1945","Phil Cavarretta","Cubs","132","498","586","177","127","34","10","6","94","97","81","34","5","",".355",".449",".500",".949","6.3","1002093"
"1934","Mel Ott","Giants","153","582","671","190","116","29","10","35","119","135","85","43","0","",".326",".415",".591","1.006","7.3","1009904"
"1944","Mel Ott","Giants","120","399","494","115","69","16","4","26","91","82","90","47","2","",".288",".423",".544",".967","5.3","1009904"
"1944","Dixie Walker","Dodgers","147","535","611","191","133","37","8","13","77","91","72","27","6","",".357",".434",".529",".963","5.8","1013512"
"2009","Albert Pujols","Cardinals","160","568","700","186","93","45","1","47","124","135","115","64","16","4",".327",".443",".658","1.101","8.4","1177"
"2006","Albert Pujols","Cardinals","143","535","634","177","94","33","1","49","119","137","92","50","7","2",".331",".431",".671","1.102","8.1","1177"
"1931","Rogers Hornsby","Cubs","100","357","418","118","64","37","1","16","64","90","56","23","1","",".331",".421",".574",".996","5.2","1006030"
"1962","Frank Robinson","Reds","162","609","701","208","116","51","2","39","134","136","76","62","18","9",".342",".421",".624","1.045","8.2","1011066"
"1999","Chipper Jones","Braves","157","567","701","181","94","41","1","45","116","110","126","94","25","3",".319",".441",".633","1.074","7.3","97"
"1996","Barry Bonds","Giants","158","517","675","159","87","27","3","42","122","129","151","76","40","7",".308",".461",".615","1.076","9.2","1109"
"2008","Chipper Jones","Braves","128","439","534","160","113","24","1","22","82","75","90","61","4","0",".364",".470",".574","1.044","7.1","97"
"1948","Jeff Heath","Braves","115","364","419","116","65","26","5","20","64","76","51","46","2","",".319",".404",".582",".986","4.8","1005560"
"1971","Willie Stargell","Pirates","141","511","606","151","77","26","0","48","104","125","83","154","0","0",".295",".398",".628","1.026","8.2","1012426"
"1987","Jack Clark","Cardinals","131","419","559","120","61","23","1","35","93","106","136","139","1","2",".286",".459",".597","1.055","5.7","1002288"
"1934","Ripper Collins","Cardinals","154","600","662","200","113","40","12","35","116","128","57","50","2","",".333",".393",".615","1.008","6.7","1002464"
"1955","Duke Snider","Dodgers","148","538","653","166","84","34","6","42","126","136","104","87","9","7",".309",".418",".628","1.046","7.7","1012230"
"2002","Brian Giles","Pirates","153","497","644","148","68","37","5","38","95","103","135","74","15","6",".298",".450",".622","1.072","6.9","990"
"2005","Derrek Lee","Cubs","158","594","691","199","100","50","3","46","120","107","85","109","15","3",".335",".418",".662","1.080","7.0","525"
"1973","Willie Stargell","Pirates","148","522","609","156","66","43","3","44","106","119","80","129","0","0",".299",".392",".646","1.038","7.7","1012426"
"1952","Stan Musial","Cardinals","154","578","676","194","125","42","6","21","105","91","96","29","7","7",".336",".432",".538",".970","7.8","1009405"
"1975","Joe Morgan","Reds","146","498","639","163","113","27","6","17","107","94","132","52","67","10",".327",".466",".508",".974","11.0","1009179"
"1970","Willie McCovey","Giants","152","495","638","143","63","39","2","39","98","126","137","75","0","0",".289",".444",".612","1.056","6.8","1008423"
